1879 Amedee-Bollee Marie-Anne | Speed | 18 kmph
1924 Audi Type M | Volume | 4655 cc
1924 Audi Type M | Cylinders | 6
1924 Audi Type M | Speed | 120 kmph
1924 Hanomag Kleinwagen | Volume | 499 cc
1924 Hanomag Kleinwagen | Cylinders | 1
1924 Hanomag Kleinwagen | Power | 10 hp
1924 Hanomag Kleinwagen | Speed | 65 kmph
1924 Hanomag Kleinwagen | Weight | 370 kg
1924 Hanomag Kleinwagen | Engine placement | rear
1924 Hanomag Kommisbrot | Volume | 499 cc
1924 Hanomag Kommisbrot | Cylinders | 1
1924 Hanomag Kommisbrot | Power | 10 hp
1924 Hanomag Kommisbrot | Speed | 65 kmph
1924 Hanomag Kommisbrot | Weight | 370 kg
1924 Hanomag Kommisbrot | Engine placement | rear
1926 Alma Six | Volume | 1642 cc
1926 Alma Six | Cylinders | R6
1926 Alma Six | Power | 50 hp
1926 Alma Six | Bore | 66 mm
1926 Alma Six | Stroke | 80 mm
1926 Alma Six | Valves per cylinder | 3
1926 Alma Six | Speed | 110 kmph
1926 Alma Six | Body | convertible
1926 Alma Six | Seats | 2
1926 Alma Six | Brakes | all drum
1926 Alma Six | Gears | 2 manual
1926 Horch 303 Berlin | Volume | 3132 cc
1926 Horch 303 Berlin | Cylinders | 8
1926 Horch 303 Berlin | Power | 60 hp
1927 Bugatti Type 41 Royale | Volume | 12.8 L
1927 Checker Model G | Cylinders | 6
1928 Adler Favorit | Volume | 1.9 L
1928 Adler Standard-8 | Volume | 3.9 L
1928 Adler Standard-8 | Cylinders | 8
1928 Audi Type R Imperator | Volume | 4872 cc
1928 Audi Type R Imperator | Cylinders | 8
1928 Bentley Speed Six | Count | 183
1928 Bentley Speed Six | Volume | 6597 cc
1928 Bentley Speed Six | Cylinders | R6
1928 Bentley Speed Six | Power | 180 hp @ 3500 rpm
1928 Bentley Speed Six | Compression ratio | 5.3
1928 Bentley Speed Six | Valves per cylinder | 4
1928 Bentley Speed Six | Speed | 135 kmph
1928 Bentley Speed Six | 0-60 mph | 14.0 s
1928 Bentley Speed Six | Weight | 2200 kg
1928 Bentley Speed Six | Wheelbase | 3569 mm
1928 Bentley Speed Six | Engine placement | front longitudinal
1928 Bentley Speed Six | Gears | 4 manual
1928 Bentley Speed Six | Drive | rear
1928 Opel Regent | Price | 21000 DM
1928 Opel Regent | Volume | 5972 cc
1928 Opel Regent | Cylinders | R8
1928 Opel Regent | Power | 110 hp
1929 Bugatti Type 46 | Volume | 5359 cc
1929 Bugatti Type 46 | Cylinders | R8
1929 Bugatti Type 46 | Power | 140 hp @ 3500 rpm
1929 Bugatti Type 46 | Fuel feed | carb
1929 Bugatti Type 46 | Bore | 81 mm
1929 Bugatti Type 46 | Stroke | 130 mm
1929 Bugatti Type 46 | Valves per cylinder | 3
1929 Bugatti Type 46 | Weight | 1134 kg
1929 Bugatti Type 46 | Wheelbase | 3505 mm
1929 Bugatti Type 46 | Brakes | drum
1929 Bugatti Type 46 | Gears | 3 manual
1929 Cadillac V16 | Count | 1930 2887
1929 Cadillac V16 | Cylinders | 16
1930 Mercedes-Benz SSK Trossi Roadster | Count | 1
1930 Mercedes-Benz SSK Trossi Roadster | Cylinders | R6
1930 Mercedes-Benz SSK Trossi Roadster | Compressor | mechanical
1930 Mercedes-Benz SSK Trossi Roadster | Power | 300 hp
1930 Mercedes-Benz SSK Trossi Roadster | Weight | 2 t
1930 АМО-2 | Count | 1715
1930 АМО-2 | Clearance | 223 mm
1931 Bugatti Type 50 | Volume | 5 L
1931 Bugatti Type 50 | Cylinders | 8
1931 Bugatti Type 50 | Power | 250 hp
1931 Jaguar SS I | Cylinders | R6
1931 Jaguar SS I | Speed | 113 kmph
1931 Opel 1.2 Liter | Price | 1450 DM
1931 Opel 1.2 Liter | Price | 2200 DM
1931 Opel 1.2 Liter | Count | 150000
1931 Opel 1.2 Liter | Volume | 1186 cc
1931 Opel 1.2 Liter | Cylinders | R4
1931 Opel 1.2 Liter | Power | 22 hp @ 3200 rpm
1931 Opel 1.2 Liter | Bore | 65 mm
1931 Opel 1.2 Liter | Stroke | 90 mm
1931 Opel 1.2 Liter | Speed | 85 kmph
1931 Opel 1.2 Liter | Fuel consumption | 8.5 L/100km
1931 Opel 1.2 Liter | Weight | 750 kg
1931 Opel 1.2 Liter | Body | roadster
1931 Opel 1.2 Liter | Body | sedan
1931 Opel 1.2 Liter | Seats | 4
1931 Opel 1.2 Liter | Doors | 2
1931 Opel 1.2 Liter | Tyres | 4.50-17
1931 Opel 1.2 Liter | Gears | 3
1931 Opel 1.2 Liter | Gears | 4
1931 Opel 1.2 Liter | Drive | rear
1931 АМО-3 | Volume | 4.88 L
1931 АМО-3 | Power | 66 hp
1932 Adler Trumpf | Volume | 1.5 L
1932 Adler Trumpf | Drive | front
1932 Checker Model T | Cylinders | 8
1932 Opel Regent | Volume | 1735 cc
1932 Opel Regent | Cylinders | R6
1932 Opel Regent | Body | sedan
1932 Opel Regent | Body | cabriolet
1932 ГАЗ АА | Volume | 3285 cc
1932 ГАЗ АА | Cylinders | 4
1932 ГАЗ АА | Power | 40 hp @ 2200 rpm
1932 ГАЗ АА | Fuel feed | carb
1932 ГАЗ АА | Compression ratio | 4.2
1932 ГАЗ АА | Bore | 98.43 mm
1932 ГАЗ АА | Stroke | 107.95 mm
1932 ГАЗ АА | Speed | 70 kmph
1932 ГАЗ АА | Fuel consumption | 20.5 L/100km
1932 ГАЗ АА | Weight | 1810 kg
1932 ГАЗ АА | Length | 5335 mm
1932 ГАЗ АА | Width | 2040 mm
1932 ГАЗ АА | Height | 1970 mm
1932 ГАЗ АА | Fuel tank | 40 L
1932 ГАЗ АА | Front track | 1405 mm
1932 ГАЗ АА | Rear track | 1600 mm
1932 ГАЗ АА | Wheelbase | 3340 mm
1932 ГАЗ АА | Clearance | 200 mm
1932 ГАЗ АА | Tyres | 6.50x20
1932 ГАЗ АА | Gears | 4 manual
1932 ГАЗ АА | Drive | rear
1933 Adler Trumpf | Volume | 1.7 L
1933 Adler Trumpf | Volume | 1504 cc
1933 Adler Trumpf | Cylinders | R4
1933 Adler Trumpf | Power | 33 hp
1933 Adler Trumpf | Bore | 71 mm
1933 Adler Trumpf | Stroke | 95 mm
1933 Adler Trumpf | Speed | 95 kmph
1933 Adler Trumpf | Body | cabriolet
1933 Adler Trumpf | Brakes | all drum
1933 Adler Trumpf | Gears | 4 manual
1933 Adler Trumpf | Drive | front
1933 Auto Union | Volume | 4358 cc
1933 Auto Union | Cylinders | V16
1933 Auto Union | Power | 295 hp @ 4500 rpm
1933 Auto Union | Compression ratio | 7.0
1933 Auto Union | Valves per cylinder | 2
1933 Auto Union | Speed | 182 mph
1933 Auto Union | Engine placement | center
1933 Standart-Superior | Volume | 396 cc
1933 Standart-Superior | Cylinders | 2
1933 Standart-Superior | Power | 12 hp
1933 Standart-Superior | Engine placement | rear
1933 ГАЗ 4 | Volume | 3285 cc
1933 ГАЗ 4 | Cylinders | 4
1933 ГАЗ 4 | Power | 40 hp @ 2200 rpm
1933 ГАЗ 4 | Speed | 90 kmph
1933 ГАЗ 4 | Weight | 1120 kg
1933 ГАЗ 4 | Length | 4080 mm
1933 ГАЗ 4 | Width | 1710 mm
1933 ГАЗ 4 | Height | 1825 mm
1933 ГАЗ 4 | Seats | 2
1933 ГАЗ 4 | Wheelbase | 2620 mm
1933 ГАЗ 4 | Tyres | 5.50x19
1933 ГАЗ 4 | Gears | 3
1933 ГАЗ 4 | Drive | rear
1933 ЗИС 5 | Count | 1000000
1933 ЗИС 5 | Volume | 5.55 L
1933 ЗИС 5 | Power | 73 hp
1933 ЗИС 5 | Fuel | petrol
1933 ЗИС 5 | Fuel | kerosene
1933 ЗИС 5 | Compression ratio | 4.7
1933 ЗИС 5 | Fuel consumption | 30..33 L/100km
1933 ЛК-1 | Power | 60 kW @ 1200 rpm
1933 ЛК-1 | Fuel | electric
1933 ЛК-1 | Speed | 55 kmph
1933 ЛК-1 | Weight | 13 t
1933 ЛК-1 | Body | bus
1933 ЛК-1 | Length | 9040 mm
1933 ЛК-1 | Width | 2500 mm
1933 ЛК-1 | Seats | 35
1933 ЛК-1 | Front tyres | 42x8
1933 ЛК-1 | Rear tyres | 40x8
1934 Aston Martin Ulster | Cylinders | 4
1934 Auto Union Type A | Count | 5
1934 Auto Union Type A | Volume | 4358 cc
1934 Auto Union Type A | Cylinders | V16
1934 Auto Union Type A | Compressor | roots
1934 Auto Union Type A | Power | 295 bhp
1934 Auto Union Type A | Torque | 380 lb-ft
1934 Auto Union Type A | Compression ratio | 7.0
1934 Auto Union Type A | Bore | 68 mm
1934 Auto Union Type A | Stroke | 75 mm
1934 Auto Union Type A | Max rpm | 4500
1934 Auto Union Type A | Weight | 750 kg
1934 Auto Union Type A | Front track | 1420 mm
1934 Auto Union Type A | Rear track | 1420 mm
1934 Auto Union Type A | Wheelbase | 2845 mm
1934 Auto Union Type A | Gears | 5
1934 Voisin C27 Aerosport | Volume | 2994 cc
1934 Voisin C27 Aerosport | Cylinders | R6
1934 Voisin C27 Aerosport | Power | 104 hp @ 4000 rpm
1934 Voisin C27 Aerosport | Speed | 150 kmph
1934 Voisin C27 Aerosport | Weight | 1300 kg
1934 Voisin C27 Aerosport | Body | coupe
1934 Voisin C27 Aerosport | Length | 4600 mm
1934 Voisin C27 Aerosport | Doors | 2
1934 Voisin C27 Aerosport | Front track | 1400 mm
1934 Voisin C27 Aerosport | Rear track | 1350 mm
1934 Voisin C27 Aerosport | Wheelbase | 3100 mm
1934 Voisin C27 Aerosport | Brakes | drum
1934 Voisin C27 Aerosport | Gears | 4 manual
1934 Voisin C27 Aerosport | Drive | rear
1935 Auto Union Type B | Cylinders | V16
1935 Auto Union Type B | Compressor | roots
1935 Auto Union Type B | Power | 375 hp @ 4800 rpm
1935 Auto Union Type B | Torque | 477 lb-ft
1935 Auto Union Type B | Compression ratio | 8.9
1935 Auto Union Type B | Max rpm | 4800
1935 Auto Union Type B | Weight | 750 kg
1935 Auto Union Type B | Front track | 142 cm
1935 Auto Union Type B | Rear track | 142 cm
1935 Auto Union Type B | Wheelbase | 2885 mm
1935 Auto Union Type B | Gears | 4
1935 Auto Union Type B 5.0 | Volume | 4959 cc
1935 Auto Union Type B 5.0 | Volume | 4951 cc
1935 Auto Union Type B 5.0 | Bore | 72.5 mm
1935 Auto Union Type B 5.0 | Stroke | 75 mm
1935 Auto Union Type B 5.6 | Volume | 5610 cc
1935 Auto Union Type B 5.6 | Bore | 72.5 mm
1935 Auto Union Type B 5.6 | Stroke | 85 mm
1935 Mercedes-Benz 130 | Count | 4298
1935 Mercedes-Benz 130 | Engine placement | rear
1935 Opel Olympia | Price | 2500 DM
1935 Opel Olympia | Count | 81661
1935 Opel Olympia | Volume | 1.3 L
1935 Opel Olympia | Volume | 1.3 L
1935 Opel Olympia | Cylinders | R4
1935 Opel Olympia | Power | 24 hp
1935 Opel Olympia | Speed | 100 kmph
1935 Opel Olympia | Fuel consumption | 8.8 L/100km
1935 Opel Olympia | Weight | 835 kg
1935 Opel Olympia | Body | cabriolet 2
1935 Opel Olympia | Body | sedan 2
1935 Opel Olympia | Length | 3900 mm
1935 Opel Olympia | Width | 1430 mm
1935 Opel Olympia | Height | 1485 mm
1935 Opel Popular 4 | Count | 173000
1935 Opel Popular 4 | Volume | 1074 cc
1935 Opel Popular 4 | Cylinders | 4
1935 Opel Popular 4 | Power | 23 hp
1935 Opel Popular 4 | Fuel feed | carb
1935 Opel Popular 4 | Speed | 85 kmph
1935 Opel Popular 4 | Weight | 750 kg
1935 Opel Popular 4 | Doors | 2
1935 Opel Popular 4 | Engine placement | front
1935 Opel Popular 4 | Gears | 3 manual
1935 Opel Popular 4 | Drive | rear
1935 SS Jaguar 100 | Price | 395 GBP @ 1937
1935 SS Jaguar 100 | Count | 198
1935 SS Jaguar 100 | Volume | 2.5 L
1935 SS Jaguar 100 | Cylinders | R6
1935 SS Jaguar 100 | Power | 100 bhp
1935 SS Jaguar 100 | Power | 104 hp
1935 SS Jaguar 100 | Speed | 95 mph
1935 SS Jaguar 100 | Speed | 101 mph
1935 SS Jaguar 100 | 0-60 mph | 13.5 s
1935 SS Jaguar 100 | Seats | 2
1935 SS Jaguar 100 | Wheelbase | 2.64 m
1935 SS Jaguar 100 | Brakes | drum
1935 SS Jaguar 100 | Wheels | 5.25x18
1935 SS Jaguar 100 | Wheels | 5.50x18
1936 Adler Trumpf Aerodynamik | Volume | 1.5 L
1936 Adler Trumpf Aerodynamik | Speed | 129 kmph
1936 Auto Union Type C | Volume | 6010 cc
1936 Auto Union Type C | Cylinders | V16
1936 Auto Union Type C | Compressor | roots
1936 Auto Union Type C | Power | 520 bhp
1936 Auto Union Type C | Torque | 627 lb-ft
1936 Auto Union Type C | Compression ratio | 9.2
1936 Auto Union Type C | Bore | 75 mm
1936 Auto Union Type C | Stroke | 85 mm
1936 Auto Union Type C | Max rpm | 5000
1936 Auto Union Type C | Weight | 750 kg
1936 Auto Union Type C | Front track | 142 cm
1936 Auto Union Type C | Rear track | 142 cm
1936 Auto Union Type C | Wheelbase | 291 cm
1936 Auto Union Type C | Gears | 4
1936 Volkswagen-30 | Count | 30
1936 ГАЗ M1 | Volume | 3.3 L
1936 ГАЗ M1 | Cylinders | 4
1936 ГАЗ M1 | Power | 50 hp @ 2800 rpm
1936 ГАЗ M1 | Fuel feed | carb
1936 ГАЗ M1 | Gears | 3
1936 ЗИС 101 | Count | 8752
1936 ЗИС 101 | Count | 1936 11
1936 ЗИС 101 | Volume | 5766 cc
1936 ЗИС 101 | Cylinders | R8
1936 ЗИС 101 | Power | 90 hp @ 2800 rpm
1936 ЗИС 101 | Compression ratio | 4.8
1936 ЗИС 101 | Bore | 85 mm
1936 ЗИС 101 | Stroke | 127 mm
1936 ЗИС 101 | Speed | 115 kmph
1936 ЗИС 101 | Fuel consumption | 25.5 L/100km
1936 ЗИС 101 | Weight | 2550 kg
1936 ЗИС 101 | Weight | 3 t
1936 ЗИС 101 | Body | sedan 4
1936 ЗИС 101 | Body | ambulance 5
1936 ЗИС 101 | Body | limousine 4
1936 ЗИС 101 | Length | 5750 mm
1936 ЗИС 101 | Width | 1890 mm
1936 ЗИС 101 | Height | 1870 mm
1936 ЗИС 101 | Seats | 7
1936 ЗИС 101 | Fuel tank | 80 L
1936 ЗИС 101 | Front track | 1500 mm
1936 ЗИС 101 | Rear track | 1550 mm
1936 ЗИС 101 | Wheelbase | 3605 mm
1936 ЗИС 101 | Clearance | 190 mm
1936 ЗИС 101 | Rear brakes | drum
1936 ЗИС 101 | Front brakes | drum
1936 ЗИС 101 | Tyres | 7.50x17 in
1936 ЗИС 101 | Gears | 3 manual
1937 Auto Union | Power | 545 hp
1937 Bugatti Type 57 | Volume | 3.3 L
1937 Opel Admiral | Count | 6404
1937 Opel Admiral | Volume | 3626 cc
1937 Opel Admiral | Cylinders | R6
1937 Opel Admiral | Power | 75 hp @ 3200 rpm
1937 Opel Admiral | Fuel feed | carb
1937 Opel Admiral | Compression ratio | 6.0
1937 Opel Admiral | Bore | 90 mm
1937 Opel Admiral | Stroke | 95 mm
1937 Opel Admiral | Speed | 132 kmph
1937 Opel Admiral | Fuel consumption | 19.7 L/100km
1937 Opel Admiral | Weight | 1540 kg
1937 Opel Admiral | Weight | 1605 kg
1937 Opel Admiral | Body | cabriolet 4
1937 Opel Admiral | Body | cabriolet 2
1937 Opel Admiral | Body | sedan
1937 Opel Admiral | Length | 5265 mm
1937 Opel Admiral | Width | 1800 mm
1937 Opel Admiral | Height | 1610 mm
1937 Opel Admiral | Height | 1625 mm
1937 Opel Admiral | Seats | 4
1937 Opel Admiral | Seats | 6
1937 Opel Admiral | Doors | 4
1937 Opel Admiral | Fuel tank | 70 L
1937 Opel Admiral | Wheelbase | 3155 mm
1937 Opel Admiral | Clearance | 190 mm
1937 Opel Admiral | Engine placement | front
1937 Opel Admiral | Wheels | 6.50x16
1937 Opel Admiral | Gears | 3
1937 Opel Admiral | Drive | rear
1937 Porsche Model 64 | Count | 3
1937 Porsche Model 64 | Volume | 1131 cc
1937 Porsche Model 64 | Cylinders | B4
1937 Porsche Model 64 | Power | 32 hp
1937 Porsche Model 64 | Compression ratio | 6.0
1937 Porsche Model 64 | Body | coupe
1937 Porsche Model 64 | Brakes | drum
1937 Porsche Model 64 | Gears | 4 manual
1938 Adler Sport | Volume | 2.5 L
1938 Adler Sport | Volume | 2494 cc
1938 Adler Sport | Cylinders | R6
1938 Adler Sport | Power | 80 hp
1938 Adler Sport | Bore | 71 mm
1938 Adler Sport | Stroke | 105 mm
1938 Adler Sport | Speed | 153 kmph
1938 Adler Sport | Body | coupe
1938 Adler Sport | Seats | 4
1938 Adler Sport | Brakes | all drum
1938 Adler Sport | Gears | 4 manual
1938 Adler Sport | Drive | rear
1938 Auto Union Type D | Volume | 2990 cc
1938 Auto Union Type D | Cylinders | V12
1938 Auto Union Type D | Torque | 650 lb-ft
1938 Auto Union Type D | Compression ratio | 9.2
1938 Auto Union Type D | Bore | 65 mm
1938 Auto Union Type D | Stroke | 75 mm
1938 Auto Union Type D | Max rpm | 5000
1938 Auto Union Type D | Weight | 750 kg
1938 Auto Union Type D | Front track | 140.5 cm
1938 Auto Union Type D | Rear track | 139 cm
1938 Auto Union Type D | Wheelbase | 277 cm
1938 Auto Union Type D | Gears | 5
1938 Opel Kadett | Price | 2000 DM
1938 Opel Kadett | Volume | 1.3 L
1938 Opel Kadett | Cylinders | R4
1938 Opel Kadett | Power | 24 hp
1938 Opel Kadett | Speed | 98 kmph
1938 Opel Olympia (2) | Volume | 1279 cc
1938 Opel Olympia (2) | Cylinders | R4
1938 Opel Olympia (2) | Power | 24 hp @ 3500 rpm
1938 Opel Olympia (2) | Fuel feed | carb
1938 Opel Olympia (2) | Compression ratio | 6.0
1938 Opel Olympia (2) | Bore | 67.5 mm
1938 Opel Olympia (2) | Stroke | 90 mm
1938 Opel Olympia (2) | Fuel consumption | 8.8 L/100km
1938 Opel Olympia (2) | Weight | 865 kg
1938 Opel Olympia (2) | Body | sedan 2
1938 Opel Olympia (2) | Body | sedan 4
1938 Opel Olympia (2) | Body | cabriolet 2
1938 Opel Olympia (2) | Length | 3930 mm
1938 Opel Olympia (2) | Width | 1430 mm
1938 Opel Olympia (2) | Height | 1540 mm
1938 Opel Olympia (2) | Doors | 4
1938 Opel Olympia (2) | Fuel tank | 28 L
1938 Opel Olympia (2) | Front track | 1092 mm
1938 Opel Olympia (2) | Rear track | 1168 mm
1938 Opel Olympia (2) | Wheelbase | 2370 mm
1938 Opel Olympia (2) | Clearance | 190 mm
1938 Opel Olympia (2) | Wheels | 5.00x16
1938 Opel Olympia (2) | Gears | 4
1938 SS Jaguar 100 | Price | 445 GBP @ 1938
1938 SS Jaguar 100 | Count | 116
1938 SS Jaguar 100 | Volume | 3485 cc
1938 SS Jaguar 100 | Cylinders | 6
1938 SS Jaguar 100 | Power | 125 hp @ 4200 rpm
1938 SS Jaguar 100 | Fuel feed | 2 carb SU
1938 SS Jaguar 100 | Speed | 161 kmph
1938 SS Jaguar 100 | Speed | 165 kmph
1938 SS Jaguar 100 | 0-60 mph | 10.4 s
1938 SS Jaguar 100 | Weight | 1150 kg
1938 SS Jaguar 100 | Weight | 1168 kg
1938 SS Jaguar 100 | Seats | 2
1938 SS Jaguar 100 | Wheels | 5.20x18
1938 SS Jaguar 100 | Gears | 4 manual
1939 Auto Union Type D | Compressor | roots
1939 Auto Union Type D | Power | 420 bhp
1939 Auto Union Type D | Power | 485 bhp
1939 Mercedes-Benz 770K | Volume | 7655 cc
1939 Mercedes-Benz 770K | Cylinders | 8
1939 Mercedes-Benz 770K | Power | 230 hp @ 3200 rpm
1939 Mercedes-Benz 770K | Speed | 170 kmph
1939 Mercedes-Benz 770K | Fuel consumption | 30 L/100km
1939 Mercedes-Benz 770K | Weight | 3.4 t
1939 Mercedes-Benz 770K | Length | 6 m
1939 Mercedes-Benz 770K | Seats | 7
1939 Mercedes-Benz 770K | Gears | 5
1940 ЗИС 101А | Power | 116 hp
1940 ЗИС 101А | Speed | 125 kmph
1941 ГАЗ 11-73 | Volume | 3.5 L
1941 ГАЗ 11-73 | Cylinders | 6
1941 ГАЗ 11-73 | Power | 76 hp @ 3400 rpm
1941 ГАЗ 61 | Count | 1941 400
1941 ГАЗ 61 | Volume | 3480 cc
1941 ГАЗ 61 | Cylinders | 6
1941 ГАЗ 61 | Power | 85 hp
1941 ГАЗ 61 | Fuel feed | carb
1941 ГАЗ 61 | Compression ratio | 6.5
1941 ГАЗ 61 | Speed | 107 kmph
1941 ГАЗ 61 | Fuel consumption | 15 L/100km
1941 ГАЗ 61 | Weight | 1650 kg
1941 ГАЗ 61 | Seats | 5
1941 ГАЗ 61 | Wheelbase | 2845 mm
1941 ГАЗ 61 | Clearance | 210 mm
1941 ГАЗ 61 | Tyres | 7.00x16
1941 ГАЗ 61 | Gears | 3
1941 ГАЗ 61 | Drive | full
1941 ГАЗ 64 | Count | 686
1943-09 ГАЗ 67 | Count | 92843
1943-09 ГАЗ 67 | Volume | 3280 cc
1943-09 ГАЗ 67 | Cylinders | R4
1943-09 ГАЗ 67 | Power | 54 hp @ 2800 rpm
1943-09 ГАЗ 67 | Torque | 17.5 kgm
1943-09 ГАЗ 67 | Speed | 90 kmph
1943-09 ГАЗ 67 | Fuel consumption | 40 L/100km
1943-09 ГАЗ 67 | Weight | 1376 kg
1943-09 ГАЗ 67 | Front track | 1449 mm
1943-09 ГАЗ 67 | Rear track | 1449 mm
1943-09 ГАЗ 67 | Wheelbase | 2100 mm
1943-09 ГАЗ 67 | Clearance | 227 mm
1944 ГАЗ 67 Б | Count | 62843
1944 ГАЗ 67 Б | Volume | 3284 cc
1944 ГАЗ 67 Б | Cylinders | R4
1944 ГАЗ 67 Б | Power | 54 hp
1944 ГАЗ 67 Б | Fuel feed | carb
1944 ГАЗ 67 Б | Speed | 90 kmph
1944 ГАЗ 67 Б | Weight | 1320 kg
1944 ГАЗ 67 Б | Length | 3350 mm
1944 ГАЗ 67 Б | Width | 1700 mm
1944 ГАЗ 67 Б | Height | 1690 mm
1944 ГАЗ 67 Б | Seats | 4
1944 ГАЗ 67 Б | Front track | 1440 mm
1944 ГАЗ 67 Б | Wheelbase | 2100 mm
1944 ГАЗ 67 Б | Clearance | 210 mm
1944 ГАЗ 67 Б | Tyres | 7,00—16
1944 ГАЗ 67 Б | Gears | 4 manual
1944 ГАЗ 67 Б | Drive | full
1945 ЗИС 110 | Count | 2089
1945 ЗИС 110 | Cylinders | 8
1947 Bugatti Type 73 | Volume | 1488 cc
1947 Bugatti Type 73 | Cylinders | 4
1947 Bugatti Type 73 | Body | coupe
1947 Cisitalia Grand Prix (Type 360) | Volume | 1493 cc
1947 Cisitalia Grand Prix (Type 360) | Cylinders | B12
1947 Cisitalia Grand Prix (Type 360) | Compressor | mechanical
1947 Cisitalia Grand Prix (Type 360) | Power | 385 hp @ 10600 rpm
1947 Cisitalia Grand Prix (Type 360) | Bore | 56 mm
1947 Cisitalia Grand Prix (Type 360) | Speed | 300 kmph
1947 Cisitalia Grand Prix (Type 360) | Weight | 718 kg
1947 Cisitalia Grand Prix (Type 360) | Engine placement | center
1947 Cisitalia Grand Prix (Type 360) | Gears | 5 seq
1947 Cisitalia Grand Prix (Type 360) | Drive | full
1947 Ferrari 125 S | Volume | 1497 cc
1947 Ferrari 125 S | Cylinders | V12
1947 Ferrari 125 S | Power | 72 hp @ 5600 rpm
1947 Ferrari 125 S | Fuel | petrol
1947 Ferrari 125 S | Valves per cylinder | 2
1947 Ferrari 125 S | Weight | 825 kg
